"file","content"
"jpg","image/jpeg"
"jpeg","image/jpeg"
"png","image/png"
"wav","audio/x-wav"
"txt","text/plain"
"text","text/plain"
"cgi","text/plain"
"flv","video/x-flv"
"rpm","audio/x-pn-realaudio-plugin"
"ram","audio/x-pn-realaudio"
"rm","audio/x-pn-realaudio"
"wma","audio/x-ms-wma"
"wax","audio/x-ms-wax"
"m3u","audio/x-mpegurl"
"aif","audio/x-aiff"
"aiff","audio/x-aiff"
"aifc","audio/x-aiff"
"qcp","audio/vnd.qcelp"
"asc","text/plain"
"csv","text/csv"
"tsv","text/tab-separated-values"
"doc","application/msword"
"xls","application/vnd.ms-excel"
"ppt","application/vnd.ms-powerpoint"
"pot","application/vnd.ms-powerpoint"
"pps","application/vnd.ms-powerpoint"
"ppz","application/vnd.ms-powerpoint"
"pdf","application/pdf"
"xdw","application/vnd.fujixerox.docuworks"
"html","text/html"
"htm","text/html"
"css","text/css"
"js","text/javascript"
"hdml","text/x-hdml"
"gif","image/gif"
"bmp","image/bmp"
"ai","application/postscript"
"eps","application/postscript"
"ps","application/postscript"
"mp3","audio/mpeg"
"mpga","audio/mpeg"
"mp2","audio/mpeg"
"m4a","audio/mp4"
"mid","audio/midi"
"midi","audio/midi"
"kar","audio/midi"
"mmf","application/x-smaf"
"zip","application/zip"
"lha","application/x-lzh"
"lzh","application/x-lzh"
"tar","application/x-tar"
"tgz","application/x-tar"
"exe","application/octet-stream"
"mp4","video/mp4"
"movie","video/x-sgi-movie"
"avi","video/x-msvideo"
"asf","video/x-ms-asf"
"asx","video/x-ms-asf"
"mng","video/x-mng"
"svi","application/softvision"
"ttz","application/t-time"
"xdw","application/vnd.fujixerox.docuworks"
"xbd","application/vnd.fujixerox.docuworks.binder"
"mif","application/vnd.mif"
"rv","video/vnd.rn-realvideo"
"mpeg","video/mpeg"
"mpg","video/mpeg"
"mpe","video/mpeg"
"smi","application/smil"
"smil","application/smil"
"qt","video/quicktime"
"mov","video/quicktime"
"xml","text/xml"
"xsl","text/xml"
"rss","application/rss+xml"
"etx","text/x-setext"
"rdf","application/rdf+xml"
"swf","application/x-shockwave-flash"
"sxw","application/vnd.sun.xml.writer"
"stw","application/vnd.sun.xml.writer.template"
"sxg","application/vnd.sun.xml.writer.global"
"vor","application/vnd.stardivision.writer"
"sdw","application/vnd.stardivision.writer"
"sgl","application/vnd.stardivision.writer-global"
"sxc","application/vnd.sun.xml.calc"
"stc","application/vnd.sun.xml.calc.template"
"sdc","application/vnd.stardivision.calc"
"sxi","application/vnd.sun.xml.impress"
"sti","application/vnd.sun.xml.impress.template"
"sdp","application/vnd.stardivision.impress"
"sdd","application/vnd.stardivision.impress"
"sxd","application/vnd.sun.xml.draw"
"std","application/vnd.sun.xml.draw.template"
"sda","application/vnd.stardivision.draw"
"sxm","application/vnd.sun.xml.math"
"smf","application/vnd.stardivision.math"
"odt","application/vnd.oasis.opendocument.text"
"ott","application/vnd.oasis.opendocument.text-template"
"oth","application/vnd.oasis.opendocument.text-web"
"odm","application/vnd.oasis.opendocument.text-master"
"odg","application/vnd.oasis.opendocument.graphics"
"otg","application/vnd.oasis.opendocument.graphics-template"
"odp","application/vnd.oasis.opendocument.presentation"
"otp","application/vnd.oasis.opendocument.presentation-template"
"ods","application/vnd.oasis.opendocument.spreadsheet"
"ots","application/vnd.oasis.opendocument.spreadsheet-template"
"odc","application/vnd.oasis.opendocument.chart"
"odf","application/vnd.oasis.opendocument.formula"
"odb","application/vnd.oasis.opendocument.database"
"odi","application/vnd.oasis.opendocument.image"
"bin","application/octet-stream"
"class","application/octet-stream"
"dll","application/octet-stream"
"dmg","application/octet-stream"
"dms","application/octet-stream"
"dpc","application/octet-stream"
"dpt","application/octet-stream"
"dpv","application/octet-stream"
"mvr","application/octet-stream"
"so","application/octet-stream"
"wpi","application/octet-stream"
"jar","application/java-archive"
"jwc","application/jwc"
"jaw","application/jxw"
"jbw","application/jxw"
"jsw","application/jxw"
"jtd","application/jxw"
"jtw","application/jxw"
"juw","application/jxw"
"jxw","application/jxw"
"cpt","application/mac-compactpro"
"hqx","application/mac-binhex40"
"mpp","application/mpp"
"oda","application/oda"
"bld","application/pbld"
"bld2","application/pbld"
"hdml","text/x-hdml"
"mmf","application/x-smaf"
"amc","application/x-mpeg"
"3g2","video/3gpp2"
"3gp","video/3gpp"
"jam","application/x-jam"
"kjx","application/x-kjx"
"jad","text/vnd.sun.j2me.app-descriptor"
"dmt","application/x-decomail-template"
"khm","application/x-kddi-htmlmail"
"khm","application/x-htmlmail-template"
"ucm","application/x-ucf-package"
"ucp","application/x-ucf-package"
"wvx","video/x-ms-wvx"
