numUsefulLife,numRateDep
2,0.684
3,0.536
4,0.438
5,0.369
6,0.319
7,0.280
8,0.250
9,0.226
10,0.206
11,0.189
12,0.175
13,0.162
14,0.152
15,0.142
16,0.134
17,0.127
18,0.120
19,0.114
20,0.109
21,0.104
22,0.099
23,0.095
24,0.092
25,0.088
26,0.085
27,0.082
28,0.079
29,0.076
30,0.074
31,0.072
32,0.069
33,0.067
34,0.066
35,0.064
36,0.062
37,0.060
38,0.059
39,0.057
40,0.056
41,0.055
42,0.053
43,0.052
44,0.051
45,0.050
46,0.049
47,0.048
48,0.047
49,0.046
50,0.045
51,0.044
52,0.043
53,0.043
54,0.042
55,0.041
56,0.040
57,0.040
58,0.039
59,0.038
60,0.038
61,0.037
62,0.036
63,0.036
64,0.035
65,0.035
66,0.034
67,0.034
68,0.033
69,0.033
70,0.032
71,0.032
72,0.032
73,0.031
74,0.031
75,0.030
76,0.030
77,0.030
78,0.029
79,0.029
80,0.028
81,0.028
82,0.028
83,0.027
84,0.027
85,0.026
86,0.026
87,0.026
88,0.026
89,0.026
90,0.025
91,0.025
92,0.025
93,0.025
94,0.024
95,0.024
96,0.024
97,0.023
98,0.023
99,0.023
100,0.023
