numUsefulLife,numRateDep
2,0.500
3,0.333
4,0.250
5,0.200
6,0.166
7,0.142
8,0.125
9,0.111
10,0.100
11,0.090
12,0.083
13,0.076
14,0.071
15,0.066
16,0.062
17,0.058
18,0.055
19,0.052
20,0.050
21,0.048
22,0.046
23,0.044
24,0.042
25,0.040
26,0.039
27,0.037
28,0.036
29,0.035
30,0.034
31,0.033
32,0.032
33,0.031
34,0.030
35,0.029
36,0.028
37,0.027
38,0.027
39,0.026
40,0.025
41,0.025
42,0.024
43,0.024
44,0.023
45,0.023
46,0.022
47,0.022
48,0.021
49,0.021
50,0.020
51,0.020
52,0.020
53,0.019
54,0.019
55,0.019
56,0.018
57,0.018
58,0.018
59,0.017
60,0.017
61,0.017
62,0.017
63,0.016
64,0.016
65,0.016
66,0.016
67,0.015
68,0.015
69,0.015
70,0.015
71,0.014
72,0.014
73,0.014
74,0.014
75,0.014
76,0.014
77,0.013
78,0.013
79,0.013
80,0.013
81,0.013
82,0.013
83,0.012
84,0.012
85,0.012
86,0.012
87,0.012
88,0.012
89,0.012
90,0.012
91,0.011
92,0.011
93,0.011
94,0.011
95,0.011
96,0.011
97,0.011
98,0.011
99,0.011
100,0.010
